,year,locationabbr,locationdesc,topictype,topicdesc,measuredesc,response,data_value_unit,data_value,gender,data_value_footnote_symbol,data_value_footnote,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Sex,Sex Code,Count,age_group
0,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Every Day,%,62.2,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
1,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Every Day,%,62.2,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
2,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Every Day,%,62.2,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
3,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Current,%,21.3,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
4,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Current,%,21.3,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
5,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Current,%,21.3,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
6,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,12.1,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
7,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,12.1,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
8,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,12.1,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
9,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Never,%,49.0,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
10,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Never,%,49.0,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
11,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Never,%,49.0,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
12,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,29.6,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
13,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,29.6,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
14,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,29.6,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
15,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,63.5,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
16,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,63.5,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
17,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,63.5,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
18,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Not Current,%,87.9,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
19,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Not Current,%,87.9,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
20,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Not Current,%,87.9,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
21,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,36.5,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
22,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,36.5,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
23,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,36.5,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
24,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Some Days,%,37.8,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
25,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Some Days,%,37.8,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,-1,45 to 64
26,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Some Days,%,37.8,Male,,,Breast,26000,Alabama,1,2018,2018,Male,M,27,65+
27,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,,Female,*,Data in these cells have been suppressed because of a small sample size,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
28,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,,Female,*,Data in these cells have been suppressed because of a small sample size,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
29,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,,Female,*,Data in these cells have been suppressed because of a small sample size,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
30,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Not Current,%,98.9,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
31,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Not Current,%,98.9,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
32,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Not Current,%,98.9,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
33,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Some Days,%,25.8,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
34,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Some Days,%,25.8,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
35,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Some Days,%,25.8,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
36,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,1.1,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
37,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,1.1,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
38,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,1.1,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
39,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,20.2,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
40,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,20.2,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
41,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,20.2,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
42,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,,Female,*,Data in these cells have been suppressed because of a small sample size,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
43,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,,Female,*,Data in these cells have been suppressed because of a small sample size,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
44,2018,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,,Female,*,Data in these cells have been suppressed because of a small sample size,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
45,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Every Day,%,74.2,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
46,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Every Day,%,74.2,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
47,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,Every Day,%,74.2,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
48,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Current,%,17.3,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
49,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Current,%,17.3,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
50,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Current,%,17.3,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
51,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Never,%,62.6,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
52,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Never,%,62.6,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1561,45 to 64
53,2018,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Never,%,62.6,Female,,,Breast,26000,Alabama,1,2018,2018,Female,F,1885,65+
54,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,69.0,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,357,25 to 44
55,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,69.0,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,1580,45 to 64
56,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,%,69.0,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,1768,65+
57,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,31.0,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,357,25 to 44
58,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,31.0,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,1580,45 to 64
59,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,%,31.0,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,1768,65+
60,2017,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,18.1,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,357,25 to 44
61,2017,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,18.1,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,1580,45 to 64
62,2017,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,Former,%,18.1,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,1768,65+
63,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,1.7,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,357,25 to 44
64,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,1.7,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,1580,45 to 64
65,2017,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,Current,%,1.7,Female,,,Breast,26000,Alabama,1,2017,2017,Female,F,1768,65+
