Year,Sex,States,Count,topicdesc,measuredesc,response,data_value,age_group
2018,Male,Alabama,0,Cigarette Use (Adults),Smoking Frequency,Every Day,62.2,25 to 44
2018,Male,Alabama,27,Cigarette Use (Adults),Smoking Frequency,Every Day,62.2,65+
2018,Male,Alabama,0,Cigarette Use (Adults),Smoking Status,Current,21.3,25 to 44
2018,Male,Alabama,27,Cigarette Use (Adults),Smoking Status,Current,21.3,65+
2018,Male,Alabama,0,Smokeless Tobacco Use (Adults),User Status,Current,12.1,25 to 44
2018,Male,Alabama,27,Smokeless Tobacco Use (Adults),User Status,Current,12.1,65+
2018,Male,Alabama,0,Cigarette Use (Adults),Smoking Status,Never,49.0,25 to 44
2018,Male,Alabama,27,Cigarette Use (Adults),Smoking Status,Never,49.0,65+
2018,Male,Alabama,0,Cigarette Use (Adults),Smoking Status,Former,29.6,25 to 44
2018,Male,Alabama,27,Cigarette Use (Adults),Smoking Status,Former,29.6,65+
2018,Male,Alabama,0,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,63.5,25 to 44
2018,Male,Alabama,27,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,63.5,65+
2018,Male,Alabama,0,Smokeless Tobacco Use (Adults),User Status,Not Current,87.9,25 to 44
2018,Male,Alabama,27,Smokeless Tobacco Use (Adults),User Status,Not Current,87.9,65+
2018,Male,Alabama,0,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,36.5,25 to 44
2018,Male,Alabama,27,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,36.5,65+
2018,Male,Alabama,0,Cigarette Use (Adults),Smoking Frequency,Some Days,37.8,25 to 44
2018,Male,Alabama,27,Cigarette Use (Adults),Smoking Frequency,Some Days,37.8,65+
2018,Female,Alabama,364,Smokeless Tobacco Use (Adults),User Status,Not Current,98.9,25 to 44
2018,Female,Alabama,1561,Smokeless Tobacco Use (Adults),User Status,Not Current,98.9,45 to 64
2018,Female,Alabama,1885,Smokeless Tobacco Use (Adults),User Status,Not Current,98.9,65+
2018,Female,Alabama,364,Cigarette Use (Adults),Smoking Frequency,Some Days,25.8,25 to 44
2018,Female,Alabama,1561,Cigarette Use (Adults),Smoking Frequency,Some Days,25.8,45 to 64
2018,Female,Alabama,1885,Cigarette Use (Adults),Smoking Frequency,Some Days,25.8,65+
2018,Female,Alabama,364,Smokeless Tobacco Use (Adults),User Status,Current,1.1,25 to 44
2018,Female,Alabama,1561,Smokeless Tobacco Use (Adults),User Status,Current,1.1,45 to 64
2018,Female,Alabama,1885,Smokeless Tobacco Use (Adults),User Status,Current,1.1,65+
2018,Female,Alabama,364,Cigarette Use (Adults),Smoking Status,Former,20.2,25 to 44
2018,Female,Alabama,1561,Cigarette Use (Adults),Smoking Status,Former,20.2,45 to 64
2018,Female,Alabama,1885,Cigarette Use (Adults),Smoking Status,Former,20.2,65+
2018,Female,Alabama,364,Cigarette Use (Adults),Smoking Frequency,Every Day,74.2,25 to 44
2018,Female,Alabama,1561,Cigarette Use (Adults),Smoking Frequency,Every Day,74.2,45 to 64
2018,Female,Alabama,1885,Cigarette Use (Adults),Smoking Frequency,Every Day,74.2,65+
2018,Female,Alabama,364,Cigarette Use (Adults),Smoking Status,Current,17.3,25 to 44
2018,Female,Alabama,1561,Cigarette Use (Adults),Smoking Status,Current,17.3,45 to 64
2018,Female,Alabama,1885,Cigarette Use (Adults),Smoking Status,Current,17.3,65+
2018,Female,Alabama,364,Cigarette Use (Adults),Smoking Status,Never,62.6,25 to 44
2018,Female,Alabama,1561,Cigarette Use (Adults),Smoking Status,Never,62.6,45 to 64
2018,Female,Alabama,1885,Cigarette Use (Adults),Smoking Status,Never,62.6,65+
2017,Female,Alabama,357,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,69.0,25 to 44
2017,Female,Alabama,1580,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,69.0,45 to 64
2017,Female,Alabama,1768,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,69.0,65+
2017,Female,Alabama,357,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,31.0,25 to 44
2017,Female,Alabama,1580,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,31.0,45 to 64
2017,Female,Alabama,1768,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,31.0,65+
2017,Female,Alabama,357,Cigarette Use (Adults),Smoking Status,Former,18.1,25 to 44
2017,Female,Alabama,1580,Cigarette Use (Adults),Smoking Status,Former,18.1,45 to 64
2017,Female,Alabama,1768,Cigarette Use (Adults),Smoking Status,Former,18.1,65+
2017,Female,Alabama,357,Smokeless Tobacco Use (Adults),User Status,Current,1.7,25 to 44
2017,Female,Alabama,1580,Smokeless Tobacco Use (Adults),User Status,Current,1.7,45 to 64
2017,Female,Alabama,1768,Smokeless Tobacco Use (Adults),User Status,Current,1.7,65+
2017,Female,Alabama,357,E-Cigarette Use (Adults),User Status,Former,14.2,25 to 44
2017,Female,Alabama,1580,E-Cigarette Use (Adults),User Status,Former,14.2,45 to 64
2017,Female,Alabama,1768,E-Cigarette Use (Adults),User Status,Former,14.2,65+
2017,Female,Alabama,357,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,25 to 44
2017,Female,Alabama,1580,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,45 to 64
2017,Female,Alabama,1768,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,65+
2017,Female,Alabama,357,Cigarette Use (Adults),Smoking Frequency,Some Days,37.0,25 to 44
2017,Female,Alabama,1580,Cigarette Use (Adults),Smoking Frequency,Some Days,37.0,45 to 64
2017,Female,Alabama,1768,Cigarette Use (Adults),Smoking Frequency,Some Days,37.0,65+
2017,Female,Alabama,357,Smokeless Tobacco Use (Adults),User Status,Not Current,98.3,25 to 44
2017,Female,Alabama,1580,Smokeless Tobacco Use (Adults),User Status,Not Current,98.3,45 to 64
2017,Female,Alabama,1768,Smokeless Tobacco Use (Adults),User Status,Not Current,98.3,65+
2017,Female,Alabama,357,Cigarette Use (Adults),Smoking Status,Never,63.2,25 to 44
2017,Female,Alabama,1580,Cigarette Use (Adults),Smoking Status,Never,63.2,45 to 64
2017,Female,Alabama,1768,Cigarette Use (Adults),Smoking Status,Never,63.2,65+
2017,Female,Alabama,357,E-Cigarette Use (Adults),User Status,Never,81.9,25 to 44
2017,Female,Alabama,1580,E-Cigarette Use (Adults),User Status,Never,81.9,45 to 64
2017,Female,Alabama,1768,E-Cigarette Use (Adults),User Status,Never,81.9,65+
2017,Female,Alabama,357,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,25 to 44
2017,Female,Alabama,1580,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,45 to 64
2017,Female,Alabama,1768,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,65+
2017,Female,Alabama,357,Cigarette Use (Adults),Smoking Frequency,Every Day,63.0,25 to 44
2017,Female,Alabama,1580,Cigarette Use (Adults),Smoking Frequency,Every Day,63.0,45 to 64
2017,Female,Alabama,1768,Cigarette Use (Adults),Smoking Frequency,Every Day,63.0,65+
2017,Female,Alabama,357,E-Cigarette Use (Adults),User Status,Current,3.9,25 to 44
2017,Female,Alabama,1580,E-Cigarette Use (Adults),User Status,Current,3.9,45 to 64
2017,Female,Alabama,1768,E-Cigarette Use (Adults),User Status,Current,3.9,65+
2017,Female,Alabama,357,Cigarette Use (Adults),Smoking Status,Current,18.7,25 to 44
2017,Female,Alabama,1580,Cigarette Use (Adults),Smoking Status,Current,18.7,45 to 64
2017,Female,Alabama,1768,Cigarette Use (Adults),Smoking Status,Current,18.7,65+
2017,Male,Alabama,16,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.6,45 to 64
2017,Male,Alabama,16,E-Cigarette Use (Adults),Frequency of Use,Every Day,34.6,65+
2017,Male,Alabama,16,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.4,45 to 64
2017,Male,Alabama,16,E-Cigarette Use (Adults),Frequency of Use,Some Days,65.4,65+
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Status,Current,23.4,45 to 64
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Status,Current,23.4,65+
2017,Male,Alabama,16,E-Cigarette Use (Adults),User Status,Former,19.4,45 to 64
2017,Male,Alabama,16,E-Cigarette Use (Adults),User Status,Former,19.4,65+
2017,Male,Alabama,16,E-Cigarette Use (Adults),User Status,Never,74.5,45 to 64
2017,Male,Alabama,16,E-Cigarette Use (Adults),User Status,Never,74.5,65+
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Status,Never,47.3,45 to 64
2017,Male,Alabama,16,Cigarette Use (Adults),Smoking Status,Never,47.3,65+
2017,Male,Alabama,16,E-Cigarette Use (Adults),User Status,Current,6.1,45 to 64
2017,Male,Alabama,16,E-Cigarette Use (Adults),User Status,Current,6.1,65+
