,Year,States,Sex,Count,topicdesc,measuredesc,response,data_value,age_group
0,2018,Alabama,Male,20,Cigarette Use (Adults),Smoking Frequency,Every Day,62.2,25 to 44
1,2018,Alabama,Male,725,Cigarette Use (Adults),Smoking Frequency,Every Day,62.2,45 to 64
2,2018,Alabama,Male,1462,Cigarette Use (Adults),Smoking Frequency,Every Day,62.2,65+
3,2018,Alabama,Male,20,Cigarette Use (Adults),Smoking Status,Current,21.3,25 to 44
4,2018,Alabama,Male,725,Cigarette Use (Adults),Smoking Status,Current,21.3,45 to 64
5,2018,Alabama,Male,1462,Cigarette Use (Adults),Smoking Status,Current,21.3,65+
6,2018,Alabama,Male,20,Smokeless Tobacco Use (Adults),User Status,Current,12.1,25 to 44
7,2018,Alabama,Male,725,Smokeless Tobacco Use (Adults),User Status,Current,12.1,45 to 64
8,2018,Alabama,Male,1462,Smokeless Tobacco Use (Adults),User Status,Current,12.1,65+
9,2018,Alabama,Male,20,Cigarette Use (Adults),Smoking Status,Never,49.0,25 to 44
10,2018,Alabama,Male,725,Cigarette Use (Adults),Smoking Status,Never,49.0,45 to 64
11,2018,Alabama,Male,1462,Cigarette Use (Adults),Smoking Status,Never,49.0,65+
12,2018,Alabama,Male,20,Cigarette Use (Adults),Smoking Status,Former,29.6,25 to 44
13,2018,Alabama,Male,725,Cigarette Use (Adults),Smoking Status,Former,29.6,45 to 64
14,2018,Alabama,Male,1462,Cigarette Use (Adults),Smoking Status,Former,29.6,65+
15,2018,Alabama,Male,20,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,63.5,25 to 44
16,2018,Alabama,Male,725,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,63.5,45 to 64
17,2018,Alabama,Male,1462,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,63.5,65+
18,2018,Alabama,Male,20,Smokeless Tobacco Use (Adults),User Status,Not Current,87.9,25 to 44
19,2018,Alabama,Male,725,Smokeless Tobacco Use (Adults),User Status,Not Current,87.9,45 to 64
20,2018,Alabama,Male,1462,Smokeless Tobacco Use (Adults),User Status,Not Current,87.9,65+
21,2018,Alabama,Male,20,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,36.5,25 to 44
22,2018,Alabama,Male,725,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,36.5,45 to 64
23,2018,Alabama,Male,1462,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,36.5,65+
24,2018,Alabama,Male,20,Cigarette Use (Adults),Smoking Frequency,Some Days,37.8,25 to 44
25,2018,Alabama,Male,725,Cigarette Use (Adults),Smoking Frequency,Some Days,37.8,45 to 64
26,2018,Alabama,Male,1462,Cigarette Use (Adults),Smoking Frequency,Some Days,37.8,65+
30,2018,Alabama,Female,24,Smokeless Tobacco Use (Adults),User Status,Not Current,98.9,25 to 44
31,2018,Alabama,Female,569,Smokeless Tobacco Use (Adults),User Status,Not Current,98.9,45 to 64
32,2018,Alabama,Female,1158,Smokeless Tobacco Use (Adults),User Status,Not Current,98.9,65+
33,2018,Alabama,Female,24,Cigarette Use (Adults),Smoking Frequency,Some Days,25.8,25 to 44
34,2018,Alabama,Female,569,Cigarette Use (Adults),Smoking Frequency,Some Days,25.8,45 to 64
35,2018,Alabama,Female,1158,Cigarette Use (Adults),Smoking Frequency,Some Days,25.8,65+
36,2018,Alabama,Female,24,Smokeless Tobacco Use (Adults),User Status,Current,1.1,25 to 44
37,2018,Alabama,Female,569,Smokeless Tobacco Use (Adults),User Status,Current,1.1,45 to 64
38,2018,Alabama,Female,1158,Smokeless Tobacco Use (Adults),User Status,Current,1.1,65+
39,2018,Alabama,Female,24,Cigarette Use (Adults),Smoking Status,Former,20.2,25 to 44
40,2018,Alabama,Female,569,Cigarette Use (Adults),Smoking Status,Former,20.2,45 to 64
