States,Leading Cancer Sites,Count,logCount,cluster
Alabama,Breast,19101,4.281056104583504,1
Alaska,Breast,2171,3.3366598234544202,0
Arizona,Breast,24485,4.388900108354237,1
Arkansas,Breast,11174,4.048208667024146,0
California,Breast,136217,5.134231311288003,1
Colorado,Breast,20077,4.3026988189917885,1
Connecticut,Breast,16485,4.217088951479171,1
Delaware,Breast,4229,3.6262376851469003,0
District of Columbia,Breast,2502,3.398287305357401,0
Florida,Breast,86368,4.936352862876423,1
Georgia,Breast,38614,4.586744792246891,1
Hawaii,Breast,6162,3.7897216939809217,0
Idaho,Breast,6204,3.7926717891415676,0
Illinois,Breast,52332,4.718767332721051,1
Indiana,Breast,25287,4.402897308556409,1
Iowa,Breast,12842,4.108632665580476,0
Kansas,Breast,11249,4.051113916777601,0
Kentucky,Breast,17807,4.250590758700192,1
Louisiana,Breast,17938,4.25377401967888,1
Maine,Breast,6068,3.783045572114693,0
Maryland,Breast,24924,4.396617742582724,1
Massachusetts,Breast,29864,4.475147976918248,1
Michigan,Breast,39493,4.596520125227025,1
Minnesota,Breast,22208,4.346509448774761,1
Mississippi,Breast,11039,4.0429297333431595,0
Missouri,Breast,25069,4.399137010338601,1
Montana,Breast,4493,3.6525364185930256,0
Nebraska,Breast,7258,3.8608169638645378,0
Nevada,Breast,7786,3.8913143993821433,0
New Hampshire,Breast,6428,3.808075868091307,0
New Jersey,Breast,39146,4.592687391766162,1
New Mexico,Breast,7265,3.86123561863404,0
New York,Breast,83135,4.91978390112151,1
North Carolina,Breast,43850,4.641969597702059,1
North Dakota,Breast,2672,3.426836453803508,0
Ohio,Breast,48844,4.688811222570019,1
Oklahoma,Breast,14490,4.161068385471174,1
Oregon,Breast,16707,4.222898472609422,1
Pennsylvania,Breast,56571,4.7525938557890814,1
Rhode Island,Breast,4805,3.681693392004564,0
South Carolina,Breast,21014,4.322508727921508,1
South Dakota,Breast,3168,3.500785172917456,0
Tennessee,Breast,25954,4.414204300298342,1
Texas,Breast,84733,4.9280525830194275,1
Utah,Breast,7884,3.8967466156074058,0
Vermont,Breast,2799,3.4470028984661623,0
Virginia,Breast,32560,4.512684396217163,1
Washington,Breast,29029,4.462832075378275,1
West Virginia,Breast,7501,3.8751191654625683,0
