Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Sex,Sex Code,Count,age_group
Breast,26000,Alabama,1,2014,2014,Female,F,359,25 to 44
Breast,26000,Alabama,1,2014,2014,Male,M,0,25 to 44
Breast,26000,Alabama,1,2015,2015,Female,F,349,25 to 44
Breast,26000,Alabama,1,2015,2015,Male,M,0,25 to 44
Breast,26000,Alabama,1,2016,2016,Female,F,383,25 to 44
Breast,26000,Alabama,1,2016,2016,Male,M,0,25 to 44
Breast,26000,Alabama,1,2017,2017,Female,F,357,25 to 44
Breast,26000,Alabama,1,2017,2017,Male,M,0,25 to 44
Breast,26000,Alabama,1,2018,2018,Female,F,364,25 to 44
Breast,26000,Alabama,1,2018,2018,Male,M,0,25 to 44
Breast,26000,Alaska,2,2014,2014,Female,F,56,25 to 44
Breast,26000,Alaska,2,2014,2014,Male,M,0,25 to 44
Breast,26000,Alaska,2,2015,2015,Female,F,58,25 to 44
Breast,26000,Alaska,2,2015,2015,Male,M,0,25 to 44
Breast,26000,Alaska,2,2016,2016,Female,F,49,25 to 44
Breast,26000,Alaska,2,2016,2016,Male,M,0,25 to 44
Breast,26000,Alaska,2,2017,2017,Female,F,48,25 to 44
Breast,26000,Alaska,2,2017,2017,Male,M,0,25 to 44
Breast,26000,Alaska,2,2018,2018,Female,F,52,25 to 44
Breast,26000,Alaska,2,2018,2018,Male,M,0,25 to 44
Breast,26000,Arizona,4,2014,2014,Female,F,426,25 to 44
Breast,26000,Arizona,4,2014,2014,Male,M,0,25 to 44
Breast,26000,Arizona,4,2015,2015,Female,F,429,25 to 44
Breast,26000,Arizona,4,2015,2015,Male,M,0,25 to 44
Breast,26000,Arizona,4,2016,2016,Female,F,398,25 to 44
Breast,26000,Arizona,4,2016,2016,Male,M,0,25 to 44
Breast,26000,Arizona,4,2017,2017,Female,F,441,25 to 44
Breast,26000,Arizona,4,2017,2017,Male,M,0,25 to 44
Breast,26000,Arizona,4,2018,2018,Female,F,422,25 to 44
Breast,26000,Arizona,4,2018,2018,Male,M,0,25 to 44
Breast,26000,Arkansas,5,2014,2014,Female,F,193,25 to 44
Breast,26000,Arkansas,5,2014,2014,Male,M,0,25 to 44
Breast,26000,Arkansas,5,2015,2015,Female,F,211,25 to 44
Breast,26000,Arkansas,5,2015,2015,Male,M,0,25 to 44
Breast,26000,Arkansas,5,2016,2016,Female,F,197,25 to 44
Breast,26000,Arkansas,5,2016,2016,Male,M,0,25 to 44
Breast,26000,Arkansas,5,2017,2017,Female,F,191,25 to 44
Breast,26000,Arkansas,5,2017,2017,Male,M,0,25 to 44
Breast,26000,Arkansas,5,2018,2018,Female,F,223,25 to 44
Breast,26000,Arkansas,5,2018,2018,Male,M,0,25 to 44
Breast,26000,California,6,2014,2014,Female,F,2748,25 to 44
Breast,26000,California,6,2014,2014,Male,M,0,25 to 44
Breast,26000,California,6,2015,2015,Female,F,2914,25 to 44
Breast,26000,California,6,2015,2015,Male,M,0,25 to 44
Breast,26000,California,6,2016,2016,Female,F,2847,25 to 44
Breast,26000,California,6,2016,2016,Male,M,0,25 to 44
Breast,26000,California,6,2017,2017,Female,F,2872,25 to 44
Breast,26000,California,6,2017,2017,Male,M,0,25 to 44
Breast,26000,California,6,2018,2018,Female,F,2858,25 to 44
Breast,26000,California,6,2018,2018,Male,M,0,25 to 44
Breast,26000,Colorado,8,2014,2014,Female,F,401,25 to 44
Breast,26000,Colorado,8,2014,2014,Male,M,0,25 to 44
Breast,26000,Colorado,8,2015,2015,Female,F,406,25 to 44
